agency,description,name,price
Arizona Legends Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,133'}",51539 W Donald Road Sun Valley Acres Tracts 36-65,"$450,000"
Arizona Legends Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '960'}",50720 W Long Rifle Road In Aguila,"$325,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,129'}",50615 W William Road Eagle Roost Air Park,"$1,250,000"
West Usa Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,683'}",51232 W Iver Road Eagle Roost Airpark,"$384,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,374'}",50820 W William Road Eagle Roost Airpark,"$469,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,002'}",48421 N 529th Avenue Rancho De Vaqueros,"$735,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,369'}",52730 W Williams Road Rancho De Vaqueros,"$925,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,800'}",51243 W Hector Road Eagle View Estates,"$350,000"
Keller Williams Arizona Realty,"{'Beds': '1', 'Baths': '1', 'Sq.Ft. Lot': '1,745,473'}",000 Rider - 3 Road 5 Horse Ranch,"$1,200,000"
Tinzie Realty,"{'Beds': '2', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '2,154'}",51008 W Pete Road Eagle Roost Airpark,"$1,100,000"
RE/MAX Professionals,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '1,417'}",12520 W Pioneer Street None,"$1,300,000"
"Woodside Homes Sales Az, Llc","{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,839'}",12372 W Trumbull Road Alamar Phase 4,"$919,890"
"Woodside Homes Sales Az, Llc","{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,560'}",12368 W Trumbull Road Alamar Phase 4,"$798,980"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,626'}",13611 W Merrell Street Fulton Estates,"$759,000"
Hague Partners,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,561'}",42139 N Mountain Cove Drive Anthem Unit 48,"$1,695,000"
Realty One Group,"{'Beds': '6', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,262'}",13506 W Monterey Way Fulton Estates,"$749,900"
Dpr Realty Llc,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,319'}",42426 N Anthem Creek Drive Anthem Unit 18B,"$1,500,000"
Homesmart,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,300'}",10223 W Sheridan Street County Island,"$740,000"
RE/MAX Fine Properties,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,144'}",41967 N Back Creek Court Anthem Country Club,"$1,499,000"
David Weekley Homes,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,261'}",12322 W Trumbull Road Alamar Phase 4,"$734,333"
Realty One Group,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,319'}",41706 N Spy Glass Drive Anthem Golf & Country Club,"$1,295,000"
Capital West Homes Realty Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,000'}",12010 W Luxton Lane Alamar Phase 2,"$690,000"
Realty One Group,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,737'}",42321 N Harbour Town Court Anthem Country Club Unit 16 Long Cove,"$1,295,000"
My Home Group Real Estate,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '4,262'}",13617 W Earll Drive Fulton Estates,"$675,000"
Omni Homes International,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,091'}",621 Bisbee Road Warren,"$220,000"
Realty One Group,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,737'}",3102 W Summit Walk Court Anthem Country Club,"$1,249,900"
Keller Williams Arizona Realty,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,540'}",11627 W Marguerite Avenue Alamar Phase 1,"$669,999"
Arizona Homestores Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,610'}",405 Shattuck Street Warren,"$329,900"
Momentum Brokers Llc,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,019'}",3236 E Chandler Boulevard #1081 Mountain Canyon Condominium,"$289,000"
RE/MAX Fine Properties,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,981'}",1961 W Wayne Lane Anthem Golf & Country Club,"$1,199,000"
Richmond American Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,840'}",11015 W Buchanan Street Vista Del Verde Phase 2 Replat,"$641,186"
Habitation Realty,"{'Beds': '1', 'Baths': '2', 'Sq.Ft.': '3,792'}",2209 S Arizona Street None,"$379,000"
North&co.,"{'Beds': '7', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,151'}",16654 S 27th Avenue Foothills Reserve Parcel D,"$724,900"
Realty Executives,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,981'}",1958 W Wayne Lane Anthem Unit 24,"$1,148,000"
Richmond American Homes,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,838'}",11003 W Buchanan Street Vista Del Verde Phase 2 Replat,"$634,995"
"Tierra Antigua Realty, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,200'}",313 Oak Avenue Old Bisbee,"$425,000"
Exp Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,468'}",1024 E Frye Road #1084 Stonecliffe Condominium,"$395,000"
Homesmart,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,197'}",1341 W Medinah Court Anthem Country Club,"$1,100,000"
"Tierra Antigua Realty, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,738'}",523 Ruppe Avenue Warren,"$320,000"
Ahwatukee Realty & Property Management Inc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,250'}",15417 S 38th Street Saguaro Point,"$469,900"
Realty Executives,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,981'}",41509 N Anthem Ridge Drive Anthem Country Club,"$1,099,999"
Pepper Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,065'}",600 Tombstone Canyon #C Old Bisbee,"$679,000"
